age,gender,job_role,experience_years,company_size,work_mode,work_hours_per_week,overtime_hours,meetings_per_day,deadlines_missed,job_satisfaction,manager_support,work_life_balance,sleep_hours,physical_activity_days,screen_time_hours,caffeine_intake,social_support_score,has_therapy,stress_level,anxiety_score,depression_score,burnout_score,burnout_level,seeks_professional_help
50,Female,Backend Developer,7.8,Large,Hybrid,45.0,0.0,5.0,0,5.9,5.1,6.1,5.9,2,8.6,1,4.4,0,4.8,4.3,2.6,1.0,Low,0
36,Male,Frontend Developer,1.8,Mid-size,Remote,56.0,4.0,6.0,0,6.3,5.2,1.1,7.1,1,11.5,4,4.1,0,6.7,4.8,4.6,3.7,Moderate,0
29,Male,DevOps,2.5,MNC,Hybrid,43.0,2.0,6.0,3,8.4,5.9,6.2,5.1,0,6.8,3,6.5,0,4.5,4.0,2.5,1.0,Low,0
42,Female,Backend Developer,1.5,Mid-size,Hybrid,57.0,9.0,4.0,1,7.0,3.2,5.3,6.9,6,10.2,5,2.5,0,6.1,5.8,1.8,3.6,Moderate,0
40,Female,Frontend Developer,3.4,Large,Remote,49.0,0.0,3.0,4,5.6,2.4,3.9,7.3,2,11.9,5,4.6,0,7.2,5.9,2.4,3.5,Low,0
44,Male,Data Scientist,10.8,Startup,Onsite,30.0,0.0,5.0,0,4.1,3.8,5.9,8.5,1,9.2,2,4.1,0,2.6,2.6,1.8,1.0,Low,0
32,Female,Frontend Developer,1.6,MNC,Hybrid,54.0,3.0,6.0,0,5.4,3.0,2.8,7.5,4,9.7,3,4.8,1,7.3,6.3,1.8,4.5,Moderate,1
32,Male,Software Engineer,9.1,Mid-size,Remote,51.0,2.0,3.0,2,6.0,5.7,6.0,7.4,1,8.0,1,4.9,1,5.0,5.2,1.6,1.0,Low,0
45,Female,Product Manager,6.5,Startup,Remote,55.0,9.0,1.0,2,3.7,3.8,7.1,7.1,3,8.4,1,3.6,1,6.4,5.4,4.1,3.0,Low,0
45,Female,Frontend Developer,7.1,Large,Remote,30.0,1.0,3.0,1,4.6,6.8,5.0,9.1,0,9.6,5,5.3,0,3.7,5.3,3.0,1.0,Low,0
24,Male,Software Engineer,8.5,Large,Hybrid,49.0,16.0,6.0,0,1.4,5.9,2.5,7.5,4,5.8,1,7.1,0,8.4,4.9,4.9,4.5,Moderate,1
43,Male,Backend Developer,6.8,MNC,Hybrid,45.0,7.0,5.0,0,5.3,3.7,6.6,6.2,0,7.2,2,4.5,0,5.5,4.1,3.0,2.7,Low,0
23,Male,Product Manager,11.6,Large,Onsite,38.0,3.0,5.0,0,6.2,1.3,4.5,6.1,3,6.9,1,4.6,0,7.7,5.5,3.7,3.8,Moderate,0
45,Male,QA Engineer,2.5,Startup,Onsite,52.0,1.0,4.0,4,8.3,4.4,5.3,6.0,4,9.0,1,4.3,1,6.1,4.3,2.0,2.5,Low,0
51,Female,Backend Developer,8.1,Startup,Hybrid,47.0,7.0,5.0,2,3.4,7.3,6.5,6.6,5,6.6,2,6.2,0,4.7,3.7,2.5,1.7,Low,0
23,Female,Frontend Developer,5.1,Startup,Hybrid,60.0,6.0,6.0,0,8.3,8.9,8.0,6.5,1,10.3,2,1.0,0,5.4,5.4,2.1,1.0,Low,0
42,Male,Data Scientist,4.6,MNC,Remote,30.0,7.0,8.0,1,4.6,5.1,6.8,5.7,0,10.5,5,5.4,1,5.4,3.9,3.3,1.0,Low,0
54,Female,Frontend Developer,8.4,Mid-size,Remote,53.0,6.0,1.0,0,8.2,4.6,1.7,8.8,2,8.5,4,4.1,0,5.9,5.7,2.2,3.4,Low,0
33,Male,Data Scientist,6.9,MNC,Hybrid,52.0,6.0,4.0,3,9.9,7.3,1.0,5.8,5,8.5,3,3.6,1,7.6,6.7,3.7,2.9,Low,0
43,Female,Data Scientist,0.5,MNC,Remote,41.0,12.0,9.0,5,5.3,4.8,3.6,5.0,1,7.5,2,6.0,0,6.1,5.2,4.0,2.7,Low,0
46,Female,Backend Developer,4.9,Mid-size,Hybrid,56.0,10.0,2.0,1,5.1,1.8,7.5,8.4,1,6.1,1,9.0,0,6.9,3.7,2.9,1.9,Low,0
48,Male,Software Engineer,5.5,Mid-size,Hybrid,49.0,9.0,5.0,1,6.4,2.5,7.5,9.5,3,6.3,3,2.9,0,5.3,4.1,1.5,1.4,Low,0
49,Male,QA Engineer,9.2,Large,Hybrid,47.0,2.0,3.0,1,5.0,5.3,2.7,4.6,3,8.6,1,4.8,0,7.4,5.3,4.9,3.5,Low,1
37,Male,Software Engineer,3.7,Large,Remote,50.0,13.0,3.0,1,7.3,5.5,3.2,5.0,3,7.7,1,4.8,0,6.5,4.7,3.6,4.2,Moderate,1
36,Male,Software Engineer,6.2,Large,Hybrid,57.0,14.0,5.0,3,7.7,6.7,6.7,6.8,0,8.1,1,6.9,0,6.1,4.0,2.3,3.0,Low,0
24,Male,Software Engineer,4.2,MNC,Hybrid,41.0,8.0,5.0,0,6.3,4.2,3.8,7.3,0,11.5,2,10.0,0,7.1,5.8,3.7,3.2,Low,1
28,Non-binary,Software Engineer,7.6,MNC,Onsite,45.0,6.0,2.0,2,2.3,9.2,4.2,5.1,7,4.6,3,7.0,0,5.6,3.5,3.5,1.0,Low,0
42,Male,Product Manager,1.2,MNC,Remote,65.0,6.0,5.0,0,4.3,5.1,3.9,7.0,2,10.7,3,3.2,1,8.3,6.5,3.6,4.5,Moderate,1
30,Female,Data Scientist,3.6,MNC,Remote,42.0,2.0,4.0,5,5.5,5.0,3.3,7.0,3,8.1,3,3.9,0,6.7,4.7,4.4,2.4,Low,0
39,Female,Product Manager,0.0,Startup,Hybrid,54.0,5.0,2.0,0,6.8,3.7,4.5,8.8,0,7.5,2,7.5,0,4.2,3.8,2.6,1.6,Low,0
25,Male,DevOps,4.4,Startup,Remote,41.0,7.0,1.0,1,6.7,1.9,1.0,7.8,0,9.8,2,2.4,1,7.8,8.0,3.1,3.8,Moderate,0
46,Male,Backend Developer,9.2,Mid-size,Hybrid,54.0,14.0,5.0,0,5.2,4.1,4.8,5.6,0,6.5,2,7.3,0,7.7,6.1,5.0,5.0,Moderate,0
35,Female,Product Manager,7.3,Large,Hybrid,36.0,10.0,1.0,1,7.8,7.6,4.1,7.9,2,6.6,2,5.2,0,4.4,3.7,2.2,1.0,Low,0
30,Male,QA Engineer,4.5,MNC,Hybrid,38.0,10.0,3.0,2,8.1,4.9,4.8,5.6,1,8.8,2,5.1,0,6.6,6.2,2.7,2.0,Low,0
